order_id,product_id,machine_id,material_id,material_batch,tool_id,operator_id,quantity,status,planned_start,actual_start,planned_end,actual_end
ORD-1045,PROD-B,M07,MAT-158,BATCH-4519,TL-17,OP-L,1000,COMPLETED,2026-07-01 08:00:00,2026-07-01 08:04:00,2026-07-01 16:00:00,2026-07-01 16:28:00
ORD-1046,PROD-A,M08,MAT-178,BATCH-4671,TL-09,OP-A,750,COMPLETED,2026-07-24 10:00:00,2026-07-24 10:06:00,2026-07-24 18:00:00,2026-07-24 18:14:00
ORD-1047,PROD-C,M02,MAT-187,BATCH-4504,TL-15,OP-K,750,COMPLETED,2026-07-27 03:00:00,2026-07-27 03:01:00,2026-07-27 11:00:00,2026-07-27 11:12:00
ORD-1048,PROD-A,M08,MAT-110,BATCH-5714,TL-07,OP-K,250,COMPLETED,2026-07-06 03:00:00,2026-07-06 03:01:00,2026-07-06 11:00:00,2026-07-06 11:25:00
ORD-1049,PROD-B,M10,MAT-126,BATCH-3281,TL-24,OP-M,500,COMPLETED,2026-07-13 03:00:00,2026-07-13 03:06:00,2026-07-13 11:00:00,2026-07-13 11:26:00
ORD-1050,PROD-B,M10,MAT-204,BATCH-4135,TL-24,OP-C,500,COMPLETED,2026-06-30 05:00:00,2026-06-30 05:08:00,2026-06-30 13:00:00,2026-06-30 13:25:00
ORD-1051,PROD-A,M03,MAT-118,BATCH-4467,TL-20,OP-M,500,COMPLETED,2026-06-23 01:00:00,2026-06-23 01:10:00,2026-06-23 09:00:00,2026-06-23 09:00:00
ORD-1052,PROD-A,M03,MAT-194,BATCH-4724,TL-15,OP-B,250,COMPLETED,2026-06-23 04:00:00,2026-06-23 04:15:00,2026-06-23 12:00:00,2026-06-23 12:14:00
ORD-1053,PROD-A,M08,MAT-164,BATCH-3907,TL-16,OP-A,750,COMPLETED,2026-07-17 08:00:00,2026-07-17 08:14:00,2026-07-17 16:00:00,2026-07-17 16:20:00
ORD-1054,PROD-D,M07,MAT-154,BATCH-5810,TL-02,OP-H,1000,COMPLETED,2026-06-04 00:00:00,2026-06-04 00:02:00,2026-06-04 08:00:00,2026-06-04 08:28:00
ORD-1055,PROD-B,M02,MAT-115,BATCH-4126,TL-16,OP-K,750,COMPLETED,2026-06-11 05:00:00,2026-06-11 05:12:00,2026-06-11 13:00:00,2026-06-11 13:19:00
ORD-1056,PROD-D,M09,MAT-177,BATCH-4762,TL-02,OP-M,250,COMPLETED,2026-08-07 04:00:00,2026-08-07 04:06:00,2026-08-07 12:00:00,2026-08-07 12:13:00
ORD-1057,PROD-D,M06,MAT-206,BATCH-4857,TL-13,OP-G,250,COMPLETED,2026-07-28 03:00:00,2026-07-28 03:10:00,2026-07-28 11:00:00,2026-07-28 11:13:00
ORD-1058,PROD-C,M06,MAT-119,BATCH-5813,TL-25,OP-H,250,COMPLETED,2026-07-11 10:00:00,2026-07-11 10:02:00,2026-07-11 18:00:00,2026-07-11 18:26:00
ORD-1059,PROD-D,M02,MAT-195,BATCH-4526,TL-20,OP-C,250,COMPLETED,2026-06-11 01:00:00,2026-06-11 01:10:00,2026-06-11 09:00:00,2026-06-11 09:21:00
ORD-1060,PROD-C,M07,MAT-192,BATCH-3210,TL-09,OP-J,750,COMPLETED,2026-06-16 06:00:00,2026-06-16 06:11:00,2026-06-16 14:00:00,2026-06-16 14:03:00
ORD-1061,PROD-B,M03,MAT-184,BATCH-4975,TL-07,OP-N,250,COMPLETED,2026-08-13 08:00:00,2026-08-13 08:11:00,2026-08-13 16:00:00,2026-08-13 16:27:00
ORD-1062,PROD-A,M05,MAT-173,BATCH-3926,TL-20,OP-G,250,COMPLETED,2026-08-11 05:00:00,2026-08-11 05:08:00,2026-08-11 13:00:00,2026-08-11 13:00:00
ORD-1063,PROD-C,M06,MAT-144,BATCH-3025,TL-05,OP-N,500,COMPLETED,2026-06-24 04:00:00,2026-06-24 04:12:00,2026-06-24 12:00:00,2026-06-24 12:02:00
ORD-1064,PROD-A,M02,MAT-195,BATCH-5172,TL-07,OP-G,1000,COMPLETED,2026-06-19 10:00:00,2026-06-19 10:14:00,2026-06-19 18:00:00,2026-06-19 18:10:00
ORD-1065,PROD-C,M06,MAT-199,BATCH-5324,TL-16,OP-B,250,COMPLETED,2026-06-21 05:00:00,2026-06-21 05:04:00,2026-06-21 13:00:00,2026-06-21 13:05:00
ORD-1066,PROD-A,M05,MAT-156,BATCH-5711,TL-13,OP-H,1000,COMPLETED,2026-08-19 00:00:00,2026-08-19 00:13:00,2026-08-19 08:00:00,2026-08-19 08:08:00
ORD-1067,PROD-A,M06,MAT-155,BATCH-3454,TL-09,OP-K,1000,COMPLETED,2026-06-28 08:00:00,2026-06-28 08:09:00,2026-06-28 16:00:00,2026-06-28 16:01:00
ORD-1068,PROD-A,M01,MAT-126,BATCH-4234,TL-07,OP-M,500,COMPLETED,2026-06-29 06:00:00,2026-06-29 06:08:00,2026-06-29 14:00:00,2026-06-29 14:09:00
ORD-1069,PROD-A,M08,MAT-195,BATCH-4763,TL-05,OP-C,1000,COMPLETED,2026-07-12 01:00:00,2026-07-12 01:07:00,2026-07-12 09:00:00,2026-07-12 09:16:00
ORD-1070,PROD-C,M02,MAT-150,BATCH-3173,TL-13,OP-A,1000,COMPLETED,2026-08-11 10:00:00,2026-08-11 10:02:00,2026-08-11 18:00:00,2026-08-11 18:27:00
ORD-1071,PROD-D,M10,MAT-151,BATCH-5906,TL-17,OP-G,750,COMPLETED,2026-07-11 09:00:00,2026-07-11 09:03:00,2026-07-11 17:00:00,2026-07-11 17:12:00
ORD-1072,PROD-B,M10,MAT-158,BATCH-5824,TL-25,OP-F,250,COMPLETED,2026-06-03 05:00:00,2026-06-03 05:13:00,2026-06-03 13:00:00,2026-06-03 13:27:00
ORD-1073,PROD-D,M10,MAT-151,BATCH-5146,TL-02,OP-G,750,COMPLETED,2026-06-14 03:00:00,2026-06-14 03:10:00,2026-06-14 11:00:00,2026-06-14 11:07:00
ORD-1074,PROD-A,M09,MAT-181,BATCH-3467,TL-15,OP-I,500,COMPLETED,2026-07-13 02:00:00,2026-07-13 02:11:00,2026-07-13 10:00:00,2026-07-13 10:11:00
ORD-1075,PROD-B,M02,MAT-117,BATCH-4048,TL-07,OP-C,500,COMPLETED,2026-08-22 02:00:00,2026-08-22 02:02:00,2026-08-22 10:00:00,2026-08-22 10:05:00
ORD-1076,PROD-D,M10,MAT-197,BATCH-5373,TL-14,OP-K,750,COMPLETED,2026-08-20 07:00:00,2026-08-20 07:10:00,2026-08-20 15:00:00,2026-08-20 15:04:00
ORD-1077,PROD-D,M08,MAT-180,BATCH-4240,TL-20,OP-E,250,COMPLETED,2026-07-27 01:00:00,2026-07-27 01:11:00,2026-07-27 09:00:00,2026-07-27 09:16:00
ORD-1078,PROD-D,M08,MAT-103,BATCH-3233,TL-11,OP-N,750,COMPLETED,2026-06-10 04:00:00,2026-06-10 04:02:00,2026-06-10 12:00:00,2026-06-10 12:20:00
ORD-1079,PROD-D,M08,MAT-174,BATCH-5270,TL-20,OP-L,250,COMPLETED,2026-06-12 09:00:00,2026-06-12 09:14:00,2026-06-12 17:00:00,2026-06-12 17:29:00
ORD-1080,PROD-B,M06,MAT-177,BATCH-4948,TL-15,OP-C,250,COMPLETED,2026-08-13 10:00:00,2026-08-13 10:14:00,2026-08-13 18:00:00,2026-08-13 18:03:00
ORD-1081,PROD-B,M01,MAT-131,BATCH-5898,TL-14,OP-H,500,COMPLETED,2026-07-14 01:00:00,2026-07-14 01:11:00,2026-07-14 09:00:00,2026-07-14 09:11:00
ORD-1082,PROD-D,M06,MAT-186,BATCH-5448,TL-01,OP-M,750,COMPLETED,2026-07-07 06:00:00,2026-07-07 06:02:00,2026-07-07 14:00:00,2026-07-07 14:10:00
ORD-1083,PROD-D,M05,MAT-132,BATCH-5964,TL-24,OP-K,500,COMPLETED,2026-06-13 08:00:00,2026-06-13 08:10:00,2026-06-13 16:00:00,2026-06-13 16:02:00
ORD-1084,PROD-B,M06,MAT-139,BATCH-5687,TL-18,OP-K,1000,COMPLETED,2026-08-14 10:00:00,2026-08-14 10:04:00,2026-08-14 18:00:00,2026-08-14 18:19:00
ORD-1085,PROD-D,M06,MAT-205,BATCH-3523,TL-17,OP-L,250,COMPLETED,2026-06-11 04:00:00,2026-06-11 04:13:00,2026-06-11 12:00:00,2026-06-11 12:16:00
ORD-1086,PROD-C,M05,MAT-123,BATCH-3877,TL-11,OP-M,1000,COMPLETED,2026-07-17 00:00:00,2026-07-17 00:06:00,2026-07-17 08:00:00,2026-07-17 08:07:00
ORD-1087,PROD-A,M05,MAT-209,BATCH-3414,TL-15,OP-M,250,COMPLETED,2026-06-18 02:00:00,2026-06-18 02:10:00,2026-06-18 10:00:00,2026-06-18 10:28:00
ORD-1088,PROD-D,M03,MAT-120,BATCH-3740,TL-24,OP-L,500,COMPLETED,2026-08-19 02:00:00,2026-08-19 02:14:00,2026-08-19 10:00:00,2026-08-19 10:01:00
ORD-1089,PROD-B,M08,MAT-178,BATCH-4167,TL-20,OP-L,1000,COMPLETED,2026-07-23 05:00:00,2026-07-23 05:07:00,2026-07-23 13:00:00,2026-07-23 13:17:00
ORD-1090,PROD-D,M04,MAT-147,BATCH-5778,TL-16,OP-H,1000,COMPLETED,2026-07-01 04:00:00,2026-07-01 04:09:00,2026-07-01 12:00:00,2026-07-01 12:24:00
ORD-1091,PROD-D,M03,MAT-205,BATCH-3817,TL-20,OP-J,500,COMPLETED,2026-07-19 08:00:00,2026-07-19 08:08:00,2026-07-19 16:00:00,2026-07-19 16:01:00
ORD-1092,PROD-C,M09,MAT-112,BATCH-5913,TL-24,OP-I,250,COMPLETED,2026-08-22 07:00:00,2026-08-22 07:09:00,2026-08-22 15:00:00,2026-08-22 15:02:00
ORD-1093,PROD-D,M09,MAT-117,BATCH-4791,TL-02,OP-D,1000,COMPLETED,2026-06-21 04:00:00,2026-06-21 04:11:00,2026-06-21 12:00:00,2026-06-21 12:29:00
ORD-1094,PROD-A,M07,MAT-164,BATCH-4531,TL-07,OP-G,250,COMPLETED,2026-06-04 06:00:00,2026-06-04 06:11:00,2026-06-04 14:00:00,2026-06-04 14:07:00
ORD-1095,PROD-A,M06,MAT-201,BATCH-3598,TL-05,OP-A,750,COMPLETED,2026-06-04 05:00:00,2026-06-04 05:15:00,2026-06-04 13:00:00,2026-06-04 13:22:00
ORD-1096,PROD-D,M10,MAT-204,BATCH-3324,TL-01,OP-E,500,COMPLETED,2026-06-18 07:00:00,2026-06-18 07:04:00,2026-06-18 15:00:00,2026-06-18 15:17:00
ORD-1097,PROD-D,M02,MAT-199,BATCH-4180,TL-07,OP-E,250,COMPLETED,2026-08-17 08:00:00,2026-08-17 08:01:00,2026-08-17 16:00:00,2026-08-17 16:07:00
ORD-1098,PROD-D,M02,MAT-113,BATCH-5047,TL-16,OP-I,250,COMPLETED,2026-07-24 10:00:00,2026-07-24 10:07:00,2026-07-24 18:00:00,2026-07-24 18:22:00
ORD-1099,PROD-D,M01,MAT-178,BATCH-4445,TL-07,OP-J,1000,COMPLETED,2026-06-19 04:00:00,2026-06-19 04:05:00,2026-06-19 12:00:00,2026-06-19 12:21:00
ORD-1100,PROD-C,M02,MAT-167,BATCH-5228,TL-15,OP-M,250,COMPLETED,2026-08-25 01:00:00,2026-08-25 01:12:00,2026-08-25 09:00:00,2026-08-25 09:27:00
ORD-1101,PROD-D,M06,MAT-132,BATCH-3066,TL-11,OP-M,250,COMPLETED,2026-07-31 00:00:00,2026-07-31 00:11:00,2026-07-31 08:00:00,2026-07-31 08:07:00
ORD-1102,PROD-A,M10,MAT-194,BATCH-4361,TL-05,OP-A,750,COMPLETED,2026-08-24 10:00:00,2026-08-24 10:10:00,2026-08-24 18:00:00,2026-08-24 18:26:00
ORD-1103,PROD-D,M08,MAT-180,BATCH-3746,TL-20,OP-C,250,COMPLETED,2026-08-22 02:00:00,2026-08-22 02:14:00,2026-08-22 10:00:00,2026-08-22 10:01:00
ORD-1104,PROD-A,M04,MAT-104,BATCH-4292,TL-25,OP-E,1000,COMPLETED,2026-07-08 03:00:00,2026-07-08 03:15:00,2026-07-08 11:00:00,2026-07-08 11:08:00
ORD-1105,PROD-B,M05,MAT-145,BATCH-3195,TL-24,OP-K,750,COMPLETED,2026-06-05 10:00:00,2026-06-05 10:08:00,2026-06-05 18:00:00,2026-06-05 18:03:00
ORD-1106,PROD-D,M08,MAT-149,BATCH-4388,TL-05,OP-H,1000,COMPLETED,2026-07-18 06:00:00,2026-07-18 06:11:00,2026-07-18 14:00:00,2026-07-18 14:29:00
ORD-1107,PROD-A,M07,MAT-109,BATCH-4763,TL-16,OP-N,500,COMPLETED,2026-08-06 04:00:00,2026-08-06 04:09:00,2026-08-06 12:00:00,2026-08-06 12:10:00
ORD-1108,PROD-C,M05,MAT-139,BATCH-4826,TL-16,OP-L,1000,COMPLETED,2026-06-14 01:00:00,2026-06-14 01:05:00,2026-06-14 09:00:00,2026-06-14 09:22:00
ORD-1109,PROD-D,M01,MAT-193,BATCH-4444,TL-16,OP-G,750,COMPLETED,2026-07-27 05:00:00,2026-07-27 05:01:00,2026-07-27 13:00:00,2026-07-27 13:02:00
ORD-1110,PROD-D,M06,MAT-165,BATCH-5782,TL-05,OP-A,500,COMPLETED,2026-08-25 10:00:00,2026-08-25 10:14:00,2026-08-25 18:00:00,2026-08-25 18:01:00
ORD-1111,PROD-B,M06,MAT-146,BATCH-4568,TL-16,OP-A,500,COMPLETED,2026-06-17 01:00:00,2026-06-17 01:14:00,2026-06-17 09:00:00,2026-06-17 09:30:00
ORD-1112,PROD-D,M02,MAT-173,BATCH-3563,TL-15,OP-F,1000,COMPLETED,2026-07-18 05:00:00,2026-07-18 05:10:00,2026-07-18 13:00:00,2026-07-18 13:20:00
ORD-1113,PROD-A,M01,MAT-194,BATCH-3762,TL-14,OP-I,1000,COMPLETED,2026-07-06 03:00:00,2026-07-06 03:03:00,2026-07-06 11:00:00,2026-07-06 11:08:00
ORD-1114,PROD-B,M10,MAT-136,BATCH-5842,TL-25,OP-H,500,COMPLETED,2026-07-04 07:00:00,2026-07-04 07:03:00,2026-07-04 15:00:00,2026-07-04 15:04:00
ORD-1115,PROD-B,M08,MAT-110,BATCH-5793,TL-24,OP-F,750,COMPLETED,2026-06-10 07:00:00,2026-06-10 07:02:00,2026-06-10 15:00:00,2026-06-10 15:17:00
ORD-1116,PROD-C,M03,MAT-191,BATCH-5906,TL-25,OP-L,500,COMPLETED,2026-08-09 04:00:00,2026-08-09 04:11:00,2026-08-09 12:00:00,2026-08-09 12:16:00
ORD-1117,PROD-B,M03,MAT-130,BATCH-5023,TL-01,OP-F,750,COMPLETED,2026-06-29 01:00:00,2026-06-29 01:14:00,2026-06-29 09:00:00,2026-06-29 09:25:00
ORD-1118,PROD-A,M02,MAT-139,BATCH-4630,TL-18,OP-L,1000,COMPLETED,2026-08-10 02:00:00,2026-08-10 02:13:00,2026-08-10 10:00:00,2026-08-10 10:24:00
ORD-1119,PROD-A,M03,MAT-140,BATCH-5631,TL-02,OP-H,1000,COMPLETED,2026-07-23 09:00:00,2026-07-23 09:11:00,2026-07-23 17:00:00,2026-07-23 17:04:00
ORD-1120,PROD-B,M03,MAT-155,BATCH-5059,TL-25,OP-N,250,COMPLETED,2026-08-10 10:00:00,2026-08-10 10:03:00,2026-08-10 18:00:00,2026-08-10 18:16:00
ORD-1121,PROD-B,M03,MAT-141,BATCH-5905,TL-07,OP-F,750,COMPLETED,2026-06-20 04:00:00,2026-06-20 04:02:00,2026-06-20 12:00:00,2026-06-20 12:08:00
ORD-1122,PROD-C,M03,MAT-180,BATCH-4240,TL-16,OP-I,250,COMPLETED,2026-06-26 10:00:00,2026-06-26 10:05:00,2026-06-26 18:00:00,2026-06-26 18:18:00
ORD-1123,PROD-B,M10,MAT-192,BATCH-5478,TL-11,OP-N,250,COMPLETED,2026-08-14 02:00:00,2026-08-14 02:00:00,2026-08-14 10:00:00,2026-08-14 10:02:00
ORD-1124,PROD-C,M04,MAT-198,BATCH-5343,TL-13,OP-J,250,COMPLETED,2026-06-06 10:00:00,2026-06-06 10:15:00,2026-06-06 18:00:00,2026-06-06 18:28:00
ORD-1125,PROD-C,M05,MAT-161,BATCH-4003,TL-20,OP-M,1000,COMPLETED,2026-08-20 08:00:00,2026-08-20 08:09:00,2026-08-20 16:00:00,2026-08-20 16:14:00
ORD-1126,PROD-B,M08,MAT-153,BATCH-4983,TL-14,OP-D,750,COMPLETED,2026-06-10 00:00:00,2026-06-10 00:04:00,2026-06-10 08:00:00,2026-06-10 08:10:00
ORD-1127,PROD-D,M03,MAT-197,BATCH-4517,TL-15,OP-I,250,COMPLETED,2026-07-11 05:00:00,2026-07-11 05:10:00,2026-07-11 13:00:00,2026-07-11 13:07:00
ORD-1128,PROD-C,M08,MAT-131,BATCH-3577,TL-02,OP-A,750,COMPLETED,2026-07-30 01:00:00,2026-07-30 01:12:00,2026-07-30 09:00:00,2026-07-30 09:27:00
ORD-1129,PROD-B,M03,MAT-205,BATCH-4341,TL-25,OP-J,750,COMPLETED,2026-08-18 06:00:00,2026-08-18 06:06:00,2026-08-18 14:00:00,2026-08-18 14:24:00
ORD-1130,PROD-D,M08,MAT-139,BATCH-5037,TL-01,OP-B,1000,COMPLETED,2026-06-21 07:00:00,2026-06-21 07:14:00,2026-06-21 15:00:00,2026-06-21 15:30:00
ORD-1131,PROD-C,M01,MAT-105,BATCH-4152,TL-14,OP-J,1000,COMPLETED,2026-07-01 03:00:00,2026-07-01 03:09:00,2026-07-01 11:00:00,2026-07-01 11:17:00
ORD-1132,PROD-D,M03,MAT-133,BATCH-5979,TL-11,OP-M,1000,COMPLETED,2026-06-02 01:00:00,2026-06-02 01:11:00,2026-06-02 09:00:00,2026-06-02 09:01:00
ORD-1133,PROD-B,M06,MAT-170,BATCH-4182,TL-02,OP-G,1000,COMPLETED,2026-07-22 00:00:00,2026-07-22 00:08:00,2026-07-22 08:00:00,2026-07-22 08:26:00
ORD-1134,PROD-A,M03,MAT-111,BATCH-4613,TL-11,OP-M,750,COMPLETED,2026-08-19 10:00:00,2026-08-19 10:11:00,2026-08-19 18:00:00,2026-08-19 18:24:00
ORD-1135,PROD-D,M09,MAT-104,BATCH-3185,TL-01,OP-C,750,COMPLETED,2026-06-19 03:00:00,2026-06-19 03:15:00,2026-06-19 11:00:00,2026-06-19 11:16:00
ORD-1136,PROD-B,M06,MAT-178,BATCH-4304,TL-05,OP-G,750,COMPLETED,2026-07-29 02:00:00,2026-07-29 02:10:00,2026-07-29 10:00:00,2026-07-29 10:16:00
ORD-1137,PROD-D,M10,MAT-138,BATCH-4945,TL-24,OP-A,750,COMPLETED,2026-08-05 08:00:00,2026-08-05 08:10:00,2026-08-05 16:00:00,2026-08-05 16:21:00
