event_id,order_id,machine_id,timestamp,units_inspected,units_defective,defect_rate,defect_type
QE-00037,ORD-1007,M04,2026-08-12 04:12:00,50,2,0.04,SCRATCH
QE-00038,ORD-1007,M04,2026-08-12 04:27:00,100,0,0.0,
QE-00039,ORD-2045,M08,2026-07-14 09:12:00,100,0,0.0,
QE-00040,ORD-2045,M08,2026-07-14 09:27:00,100,0,0.0,
QE-00041,ORD-1091,M03,2026-07-19 08:08:00,100,0,0.0,
QE-00042,ORD-1091,M03,2026-07-19 08:23:00,50,1,0.02,SCRATCH
QE-00043,ORD-1142,M09,2026-06-23 07:15:00,50,0,0.0,
QE-00044,ORD-1142,M09,2026-06-23 07:30:00,100,0,0.0,
QE-00045,ORD-1024,M03,2026-07-09 09:12:00,100,0,0.0,
QE-00046,ORD-1024,M03,2026-07-09 09:27:00,50,0,0.0,
QE-00047,ORD-2005,M03,2026-07-11 07:05:00,100,0,0.0,
QE-00048,ORD-2005,M03,2026-07-11 07:20:00,50,1,0.02,CRACK
QE-00049,ORD-2006,M08,2026-08-24 10:05:00,50,3,0.06,SCRATCH
QE-00050,ORD-2006,M08,2026-08-24 10:20:00,50,0,0.0,
QE-00051,ORD-2006,M08,2026-08-24 10:35:00,50,0,0.0,
QE-00052,ORD-1084,M06,2026-08-14 10:04:00,50,0,0.0,
QE-00053,ORD-1084,M06,2026-08-14 10:19:00,50,1,0.02,SCRATCH
QE-00054,ORD-1099,M01,2026-06-19 04:05:00,100,2,0.02,CONTAM
QE-00055,ORD-1004,M05,2026-06-02 08:15:00,100,0,0.0,
QE-00056,ORD-1004,M05,2026-06-02 08:30:00,50,1,0.02,SCRATCH
QE-00057,ORD-1004,M05,2026-06-02 08:45:00,50,0,0.0,
QE-00058,ORD-1075,M02,2026-08-22 02:02:00,100,0,0.0,
QE-00059,ORD-1075,M02,2026-08-22 02:17:00,50,0,0.0,
QE-00060,ORD-1075,M02,2026-08-22 02:32:00,100,0,0.0,
QE-00061,ORD-1106,M08,2026-07-18 06:11:00,50,0,0.0,
QE-00062,ORD-1106,M08,2026-07-18 06:26:00,100,2,0.02,CRACK
QE-00063,ORD-1100,M02,2026-08-25 01:12:00,50,1,0.02,SCRATCH
QE-00064,ORD-1100,M02,2026-08-25 01:27:00,50,0,0.0,
QE-00065,ORD-1100,M02,2026-08-25 01:42:00,100,1,0.01,CONTAM
QE-00066,ORD-1022,M07,2026-07-08 08:04:00,100,0,0.0,
QE-00067,ORD-1022,M07,2026-07-08 08:19:00,100,0,0.0,
QE-00068,ORD-1144,M05,2026-07-15 08:12:00,100,0,0.0,
QE-00069,ORD-1144,M05,2026-07-15 08:27:00,50,0,0.0,
QE-00070,ORD-1063,M06,2026-06-24 04:12:00,100,0,0.0,
QE-00071,ORD-1063,M06,2026-06-24 04:27:00,100,0,0.0,
QE-00072,ORD-1063,M06,2026-06-24 04:42:00,100,0,0.0,
QE-00073,ORD-1147,M01,2026-08-15 03:01:00,50,1,0.02,CRACK
QE-00074,ORD-1134,M03,2026-08-19 10:11:00,100,2,0.02,CONTAM
QE-00075,ORD-1134,M03,2026-08-19 10:26:00,100,0,0.0,
QE-00076,ORD-1134,M03,2026-08-19 10:41:00,100,1,0.01,CRACK
QE-00077,ORD-1044,M02,2026-07-30 04:03:00,100,1,0.01,CRACK
QE-00078,ORD-1044,M02,2026-07-30 04:18:00,50,0,0.0,
QE-00079,ORD-1098,M02,2026-07-24 10:07:00,100,2,0.02,SCRATCH
QE-00080,ORD-1098,M02,2026-07-24 10:22:00,50,0,0.0,
QE-00081,ORD-2018,M06,2026-08-12 08:07:00,50,0,0.0,
QE-00082,ORD-2018,M06,2026-08-12 08:22:00,50,0,0.0,
QE-00083,ORD-1036,M05,2026-07-08 00:15:00,100,0,0.0,
QE-00084,ORD-1069,M08,2026-07-12 01:07:00,50,2,0.04,CRACK
QE-00085,ORD-1069,M08,2026-07-12 01:22:00,50,2,0.04,CRACK
QE-00086,ORD-1069,M08,2026-07-12 01:37:00,50,0,0.0,
QE-00087,ORD-1078,M08,2026-06-10 04:02:00,50,0,0.0,
QE-00088,ORD-1078,M08,2026-06-10 04:17:00,50,0,0.0,
QE-00089,ORD-2014,M09,2026-08-02 07:14:00,100,1,0.01,SCRATCH
QE-00090,ORD-2014,M09,2026-08-02 07:29:00,100,0,0.0,
QE-00091,ORD-2014,M09,2026-08-02 07:44:00,50,0,0.0,
QE-00092,ORD-1127,M03,2026-07-11 05:10:00,50,0,0.0,
QE-00093,ORD-1127,M03,2026-07-11 05:25:00,50,0,0.0,
QE-00094,ORD-1038,M05,2026-08-20 10:04:00,50,0,0.0,
QE-00095,ORD-1038,M05,2026-08-20 10:19:00,100,1,0.01,CRACK
QE-00096,ORD-1017,M07,2026-07-23 07:10:00,50,0,0.0,
QE-00097,ORD-1017,M07,2026-07-23 07:25:00,50,0,0.0,
QE-00098,ORD-1017,M07,2026-07-23 07:40:00,50,0,0.0,
QE-00099,ORD-1043,M10,2026-06-30 07:02:00,100,0,0.0,
QE-00100,ORD-1043,M10,2026-06-30 07:17:00,50,0,0.0,
QE-00101,ORD-1112,M02,2026-07-18 05:10:00,50,0,0.0,
QE-00102,ORD-1112,M02,2026-07-18 05:25:00,50,0,0.0,
QE-00103,ORD-1112,M02,2026-07-18 05:40:00,50,0,0.0,
QE-00104,ORD-1071,M10,2026-07-11 09:03:00,50,0,0.0,
QE-00105,ORD-1071,M10,2026-07-11 09:18:00,50,2,0.04,CONTAM
QE-00106,ORD-1071,M10,2026-07-11 09:33:00,100,2,0.02,SCRATCH
QE-00107,ORD-1108,M05,2026-06-14 01:05:00,50,1,0.02,CONTAM
QE-00108,ORD-1077,M08,2026-07-27 01:11:00,100,0,0.0,
QE-00109,ORD-1077,M08,2026-07-27 01:26:00,100,0,0.0,
QE-00110,ORD-1077,M08,2026-07-27 01:41:00,50,0,0.0,
QE-00111,ORD-1124,M04,2026-06-06 10:15:00,50,0,0.0,
QE-00112,ORD-1124,M04,2026-06-06 10:30:00,100,1,0.01,CONTAM
QE-00113,ORD-1124,M04,2026-06-06 10:45:00,50,1,0.02,CONTAM
QE-00114,ORD-1020,M08,2026-08-10 02:05:00,50,0,0.0,
QE-00115,ORD-1020,M08,2026-08-10 02:20:00,50,1,0.02,CRACK
QE-00116,ORD-2050,M08,2026-08-20 10:09:00,50,1,0.02,SCRATCH
QE-00117,ORD-2050,M08,2026-08-20 10:24:00,100,0,0.0,
QE-00118,ORD-2050,M08,2026-08-20 10:39:00,50,0,0.0,
QE-00119,ORD-1065,M06,2026-06-21 05:04:00,50,0,0.0,
QE-00120,ORD-1065,M06,2026-06-21 05:19:00,50,3,0.06,CRACK
QE-00121,ORD-1065,M06,2026-06-21 05:34:00,50,0,0.0,
QE-00122,ORD-1064,M02,2026-06-19 10:14:00,100,0,0.0,
QE-00123,ORD-1064,M02,2026-06-19 10:29:00,50,1,0.02,SCRATCH
QE-00124,ORD-1064,M02,2026-06-19 10:44:00,50,0,0.0,
QE-00125,ORD-2011,M04,2026-08-05 07:14:00,100,0,0.0,
QE-00126,ORD-1051,M03,2026-06-23 01:10:00,100,0,0.0,
QE-00127,ORD-1118,M02,2026-08-10 02:13:00,100,0,0.0,
QE-00128,ORD-1118,M02,2026-08-10 02:28:00,100,0,0.0,
QE-00129,ORD-1118,M02,2026-08-10 02:43:00,50,0,0.0,
QE-00130,ORD-1028,M02,2026-07-04 05:10:00,50,0,0.0,
QE-00131,ORD-1028,M02,2026-07-04 05:25:00,50,3,0.06,SCRATCH
QE-00132,ORD-1035,M08,2026-07-09 03:09:00,100,0,0.0,
QE-00133,ORD-1035,M08,2026-07-09 03:24:00,50,0,0.0,
QE-00134,ORD-1035,M08,2026-07-09 03:39:00,100,1,0.01,SCRATCH
QE-00135,ORD-2013,M02,2026-07-21 08:02:00,50,0,0.0,
QE-00136,ORD-1002,M06,2026-06-30 01:06:00,50,0,0.0,
QE-00137,ORD-1002,M06,2026-06-30 01:21:00,50,0,0.0,
QE-00138,ORD-1102,M10,2026-08-24 10:10:00,50,0,0.0,
QE-00139,ORD-1102,M10,2026-08-24 10:25:00,50,1,0.02,SCRATCH
QE-00140,ORD-1102,M10,2026-08-24 10:40:00,100,3,0.03,CONTAM
QE-00141,ORD-1086,M05,2026-07-17 00:06:00,100,0,0.0,
QE-00142,ORD-1086,M05,2026-07-17 00:21:00,50,1,0.02,CRACK
QE-00143,ORD-1086,M05,2026-07-17 00:36:00,50,1,0.02,SCRATCH
QE-00144,ORD-2017,M06,2026-08-11 10:02:00,100,0,0.0,
QE-00145,ORD-2017,M06,2026-08-11 10:17:00,50,0,0.0,
QE-00146,ORD-1085,M06,2026-06-11 04:13:00,50,0,0.0,
QE-00147,ORD-1085,M06,2026-06-11 04:28:00,100,0,0.0,
QE-00148,ORD-1085,M06,2026-06-11 04:43:00,50,0,0.0,
QE-00149,ORD-1113,M01,2026-07-06 03:03:00,50,2,0.04,CONTAM
QE-00150,ORD-1113,M01,2026-07-06 03:18:00,50,0,0.0,
QE-00151,ORD-1138,M01,2026-06-15 06:01:00,50,0,0.0,
QE-00152,ORD-1138,M01,2026-06-15 06:16:00,50,0,0.0,
QE-00153,ORD-1138,M01,2026-06-15 06:31:00,100,0,0.0,
QE-00154,ORD-2043,M02,2026-07-28 10:08:00,50,2,0.04,SCRATCH
QE-00155,ORD-2033,M05,2026-07-17 08:07:00,100,0,0.0,
QE-00156,ORD-2033,M05,2026-07-17 08:22:00,50,0,0.0,
QE-00157,ORD-2033,M05,2026-07-17 08:37:00,100,0,0.0,
QE-00158,ORD-2004,M03,2026-08-11 08:03:00,100,0,0.0,
QE-00159,ORD-1083,M05,2026-06-13 08:10:00,50,0,0.0,
QE-00160,ORD-1083,M05,2026-06-13 08:25:00,50,3,0.06,SCRATCH
QE-00161,ORD-1083,M05,2026-06-13 08:40:00,100,2,0.02,CRACK
QE-00162,ORD-1052,M03,2026-06-23 04:15:00,50,0,0.0,
QE-00163,ORD-1052,M03,2026-06-23 04:30:00,50,0,0.0,
QE-00164,ORD-1123,M10,2026-08-14 02:00:00,100,1,0.01,SCRATCH
QE-00165,ORD-1123,M10,2026-08-14 02:15:00,100,0,0.0,
QE-00166,ORD-1041,M09,2026-06-29 10:08:00,50,1,0.02,CONTAM
QE-00167,ORD-1041,M09,2026-06-29 10:23:00,50,0,0.0,
QE-00168,ORD-2035,M03,2026-08-16 05:01:00,50,0,0.0,
QE-00169,ORD-2035,M03,2026-08-16 05:16:00,100,0,0.0,
QE-00170,ORD-2003,M01,2026-08-17 04:09:00,50,3,0.06,SCRATCH
QE-00171,ORD-2003,M01,2026-08-17 04:24:00,100,1,0.01,CONTAM
QE-00172,ORD-2003,M01,2026-08-17 04:39:00,100,0,0.0,
QE-00173,ORD-1145,M01,2026-07-15 02:08:00,50,0,0.0,
QE-00174,ORD-1145,M01,2026-07-15 02:23:00,50,3,0.06,SCRATCH
QE-00175,ORD-1145,M01,2026-07-15 02:38:00,100,0,0.0,
QE-00176,ORD-1146,M09,2026-08-01 03:03:00,100,1,0.01,CRACK
QE-00177,ORD-2010,M09,2026-07-15 03:13:00,50,0,0.0,
QE-00178,ORD-2010,M09,2026-07-15 03:28:00,50,0,0.0,
QE-00179,ORD-1095,M06,2026-06-04 05:15:00,50,0,0.0,
QE-00180,ORD-1095,M06,2026-06-04 05:30:00,50,0,0.0,
QE-00181,ORD-1089,M08,2026-07-23 05:07:00,50,0,0.0,
QE-00182,ORD-1082,M06,2026-07-07 06:02:00,100,1,0.01,CONTAM
QE-00183,ORD-1082,M06,2026-07-07 06:17:00,100,0,0.0,
QE-00184,ORD-2021,M04,2026-08-19 00:01:00,50,0,0.0,
QE-00185,ORD-2021,M04,2026-08-19 00:16:00,50,0,0.0,
QE-00186,ORD-1074,M09,2026-07-13 02:11:00,50,0,0.0,
QE-00187,ORD-1074,M09,2026-07-13 02:26:00,50,0,0.0,
QE-00188,ORD-1074,M09,2026-07-13 02:41:00,100,0,0.0,
QE-00189,ORD-1101,M06,2026-07-31 00:11:00,100,3,0.03,SCRATCH
QE-00190,ORD-1101,M06,2026-07-31 00:26:00,100,0,0.0,
QE-00191,ORD-1101,M06,2026-07-31 00:41:00,100,2,0.02,SCRATCH
QE-00192,ORD-1032,M10,2026-06-23 01:07:00,100,1,0.01,CONTAM
QE-00193,ORD-1042,M05,2026-06-16 07:03:00,50,0,0.0,
QE-00194,ORD-1042,M05,2026-06-16 07:18:00,100,0,0.0,
QE-00195,ORD-1042,M05,2026-06-16 07:33:00,50,3,0.06,CRACK
QE-00196,ORD-1049,M10,2026-07-13 03:06:00,50,0,0.0,
QE-00197,ORD-1049,M10,2026-07-13 03:21:00,100,1,0.01,SCRATCH
QE-00198,ORD-1049,M10,2026-07-13 03:36:00,50,3,0.06,CRACK
QE-00199,ORD-2015,M08,2026-08-21 04:01:00,50,0,0.0,
QE-00200,ORD-2015,M08,2026-08-21 04:16:00,50,1,0.02,SCRATCH
QE-00201,ORD-2015,M08,2026-08-21 04:31:00,50,0,0.0,
QE-00202,ORD-2038,M01,2026-07-01 08:00:00,50,0,0.0,
QE-00203,ORD-1116,M03,2026-08-09 04:11:00,100,0,0.0,
QE-00204,ORD-1116,M03,2026-08-09 04:26:00,50,0,0.0,
QE-00205,ORD-1125,M05,2026-08-20 08:09:00,50,0,0.0,
QE-00206,ORD-1125,M05,2026-08-20 08:24:00,50,0,0.0,
QE-00207,ORD-1047,M02,2026-07-27 03:01:00,100,1,0.01,SCRATCH
QE-00208,ORD-1047,M02,2026-07-27 03:16:00,100,0,0.0,
QE-00209,ORD-1047,M02,2026-07-27 03:31:00,100,0,0.0,
QE-00210,ORD-1015,M09,2026-06-06 02:13:00,100,1,0.01,CRACK
QE-00211,ORD-1015,M09,2026-06-06 02:28:00,100,0,0.0,
QE-00212,ORD-1015,M09,2026-06-06 02:43:00,100,0,0.0,
QE-00213,ORD-1073,M10,2026-06-14 03:10:00,50,0,0.0,
QE-00214,ORD-1026,M03,2026-07-31 06:03:00,50,0,0.0,
QE-00215,ORD-1026,M03,2026-07-31 06:18:00,50,0,0.0,
QE-00216,ORD-1076,M10,2026-08-20 07:10:00,100,2,0.02,CRACK
QE-00217,ORD-1076,M10,2026-08-20 07:25:00,50,0,0.0,
QE-00218,ORD-2048,M04,2026-07-18 07:12:00,50,0,0.0,
QE-00219,ORD-2048,M04,2026-07-18 07:27:00,50,0,0.0,
QE-00220,ORD-2032,M04,2026-08-16 07:04:00,50,3,0.06,CONTAM
QE-00221,ORD-2032,M04,2026-08-16 07:19:00,100,0,0.0,
QE-00222,ORD-2032,M04,2026-08-16 07:34:00,100,0,0.0,
QE-00223,ORD-1088,M03,2026-08-19 02:14:00,100,0,0.0,
QE-00224,ORD-1088,M03,2026-08-19 02:29:00,50,0,0.0,
QE-00225,ORD-1088,M03,2026-08-19 02:44:00,50,0,0.0,
QE-00226,ORD-2028,M02,2026-07-25 10:15:00,50,1,0.02,CRACK
QE-00227,ORD-2028,M02,2026-07-25 10:30:00,100,1,0.01,SCRATCH
QE-00228,ORD-2030,M04,2026-08-08 03:14:00,50,0,0.0,
QE-00229,ORD-2027,M02,2026-07-17 03:01:00,100,0,0.0,
QE-00230,ORD-1094,M07,2026-06-04 06:11:00,50,1,0.02,SCRATCH
QE-00231,ORD-1094,M07,2026-06-04 06:26:00,100,0,0.0,
QE-00232,ORD-1094,M07,2026-06-04 06:41:00,50,0,0.0,
QE-00233,ORD-1060,M07,2026-06-16 06:11:00,100,1,0.01,CONTAM
QE-00234,ORD-1060,M07,2026-06-16 06:26:00,100,2,0.02,SCRATCH
QE-00235,ORD-1060,M07,2026-06-16 06:41:00,100,2,0.02,CONTAM
QE-00236,ORD-2034,M05,2026-08-05 10:14:00,50,1,0.02,CRACK
QE-00237,ORD-2037,M10,2026-07-10 00:15:00,100,0,0.0,
QE-00238,ORD-2037,M10,2026-07-10 00:30:00,50,0,0.0,
QE-00239,ORD-2037,M10,2026-07-10 00:45:00,50,0,0.0,
QE-00240,ORD-1057,M06,2026-07-28 03:10:00,100,0,0.0,
QE-00241,ORD-1122,M03,2026-06-26 10:05:00,50,1,0.02,CRACK
QE-00242,ORD-1122,M03,2026-06-26 10:20:00,50,2,0.04,CRACK
QE-00243,ORD-1122,M03,2026-06-26 10:35:00,50,0,0.0,
QE-00244,ORD-1120,M03,2026-08-10 10:03:00,50,1,0.02,CONTAM
QE-00245,ORD-1120,M03,2026-08-10 10:18:00,100,3,0.03,CRACK
QE-00246,ORD-1120,M03,2026-08-10 10:33:00,100,0,0.0,
QE-00247,ORD-1009,M03,2026-06-28 04:00:00,100,0,0.0,
QE-00248,ORD-1009,M03,2026-06-28 04:15:00,50,1,0.02,CRACK
QE-00249,ORD-1053,M08,2026-07-17 08:14:00,100,0,0.0,
QE-00250,ORD-1053,M08,2026-07-17 08:29:00,50,1,0.02,CONTAM
QE-00251,ORD-1053,M08,2026-07-17 08:44:00,100,0,0.0,
QE-00252,ORD-1087,M05,2026-06-18 02:10:00,50,0,0.0,
QE-00253,ORD-1087,M05,2026-06-18 02:25:00,100,0,0.0,
QE-00254,ORD-1087,M05,2026-06-18 02:40:00,50,2,0.04,CONTAM
QE-00255,ORD-2020,M05,2026-07-30 05:13:00,50,0,0.0,
QE-00256,ORD-2020,M05,2026-07-30 05:28:00,100,2,0.02,CONTAM
QE-00257,ORD-1018,M09,2026-07-12 01:13:00,50,2,0.04,SCRATCH
QE-00258,ORD-1119,M03,2026-07-23 09:11:00,50,0,0.0,
QE-00259,ORD-1119,M03,2026-07-23 09:26:00,100,0,0.0,
QE-00260,ORD-1039,M03,2026-07-08 05:08:00,100,0,0.0,
QE-00261,ORD-1031,M06,2026-06-08 04:05:00,50,0,0.0,
QE-00262,ORD-1031,M06,2026-06-08 04:20:00,50,0,0.0,
QE-00263,ORD-1033,M05,2026-08-21 04:09:00,50,0,0.0,
QE-00264,ORD-2002,M08,2026-08-17 00:15:00,100,3,0.03,CRACK
QE-00265,ORD-2002,M08,2026-08-17 00:30:00,100,2,0.02,CRACK
QE-00266,ORD-1055,M02,2026-06-11 05:12:00,100,0,0.0,
QE-00267,ORD-1055,M02,2026-06-11 05:27:00,100,1,0.01,CONTAM
QE-00268,ORD-1055,M02,2026-06-11 05:42:00,50,0,0.0,
QE-00269,ORD-1135,M09,2026-06-19 03:15:00,50,0,0.0,
QE-00270,ORD-1010,M05,2026-07-28 09:14:00,100,3,0.03,SCRATCH
QE-00271,ORD-1010,M05,2026-07-28 09:29:00,100,0,0.0,
QE-00272,ORD-1058,M06,2026-07-11 10:02:00,50,1,0.02,CONTAM
QE-00273,ORD-1058,M06,2026-07-11 10:17:00,50,0,0.0,
QE-00274,ORD-1062,M05,2026-08-11 05:08:00,100,1,0.01,CRACK
QE-00275,ORD-1062,M05,2026-08-11 05:23:00,50,0,0.0,
QE-00276,ORD-1062,M05,2026-08-11 05:38:00,100,0,0.0,
QE-00277,ORD-2026,M09,2026-07-15 04:12:00,100,0,0.0,
QE-00278,ORD-1129,M03,2026-08-18 06:06:00,100,0,0.0,
QE-00279,ORD-2012,M02,2026-08-15 05:04:00,100,0,0.0,
QE-00280,ORD-2012,M02,2026-08-15 05:19:00,100,0,0.0,
QE-00281,ORD-2012,M02,2026-08-15 05:34:00,50,0,0.0,
QE-00282,ORD-1148,M02,2026-07-23 05:13:00,100,0,0.0,
QE-00283,ORD-1148,M02,2026-07-23 05:28:00,100,0,0.0,
QE-00284,ORD-1148,M02,2026-07-23 05:43:00,50,0,0.0,
QE-00285,ORD-1054,M07,2026-06-04 00:02:00,100,0,0.0,
QE-00286,ORD-1054,M07,2026-06-04 00:17:00,50,0,0.0,
QE-00287,ORD-1054,M07,2026-06-04 00:32:00,100,3,0.03,CRACK
QE-00288,ORD-1103,M08,2026-08-22 02:14:00,100,1,0.01,CRACK
QE-00289,ORD-1005,M08,2026-06-02 09:08:00,100,0,0.0,
QE-00290,ORD-1005,M08,2026-06-02 09:23:00,100,0,0.0,
QE-00291,ORD-2031,M05,2026-08-11 05:03:00,100,0,0.0,
QE-00292,ORD-2031,M05,2026-08-11 05:18:00,50,0,0.0,
QE-00293,ORD-1011,M07,2026-06-30 04:08:00,100,0,0.0,
QE-00294,ORD-1011,M07,2026-06-30 04:23:00,100,0,0.0,
QE-00295,ORD-1014,M01,2026-07-26 05:08:00,50,0,0.0,
QE-00296,ORD-2042,M01,2026-07-25 08:15:00,100,3,0.03,CONTAM
QE-00297,ORD-2042,M01,2026-07-25 08:30:00,50,0,0.0,
QE-00298,ORD-1046,M08,2026-07-24 10:06:00,100,3,0.03,CONTAM
QE-00299,ORD-1046,M08,2026-07-24 10:21:00,100,0,0.0,
QE-00300,ORD-1067,M06,2026-06-28 08:09:00,100,0,0.0,
QE-00301,ORD-1114,M10,2026-07-04 07:03:00,50,0,0.0,
QE-00302,ORD-1114,M10,2026-07-04 07:18:00,50,0,0.0,
QE-00303,ORD-1040,M05,2026-06-22 04:02:00,50,2,0.04,SCRATCH
QE-00304,ORD-1040,M05,2026-06-22 04:17:00,50,1,0.02,SCRATCH
QE-00305,ORD-1003,M02,2026-08-01 04:05:00,100,0,0.0,
QE-00306,ORD-1037,M04,2026-07-07 03:03:00,100,0,0.0,
QE-00307,ORD-1037,M04,2026-07-07 03:18:00,50,1,0.02,CRACK
QE-00308,ORD-1037,M04,2026-07-07 03:33:00,100,2,0.02,SCRATCH
QE-00309,ORD-1104,M04,2026-07-08 03:15:00,100,0,0.0,
QE-00310,ORD-2016,M02,2026-07-23 01:04:00,100,2,0.02,CONTAM
QE-00311,ORD-2016,M02,2026-07-23 01:19:00,100,2,0.02,SCRATCH
QE-00312,ORD-2016,M02,2026-07-23 01:34:00,100,0,0.0,
QE-00313,ORD-1131,M01,2026-07-01 03:09:00,50,0,0.0,
QE-00314,ORD-1133,M06,2026-07-22 00:08:00,50,2,0.04,CONTAM
QE-00315,ORD-1133,M06,2026-07-22 00:23:00,50,1,0.02,CONTAM
QE-00316,ORD-1133,M06,2026-07-22 00:38:00,100,2,0.02,CRACK
QE-00317,ORD-1079,M08,2026-06-12 09:14:00,100,0,0.0,
QE-00318,ORD-1079,M08,2026-06-12 09:29:00,100,0,0.0,
QE-00319,ORD-2023,M06,2026-07-19 03:13:00,100,0,0.0,
QE-00320,ORD-2023,M06,2026-07-19 03:28:00,100,0,0.0,
QE-00321,ORD-1109,M01,2026-07-27 05:01:00,50,0,0.0,
QE-00322,ORD-1109,M01,2026-07-27 05:16:00,100,2,0.02,CRACK
QE-00323,ORD-2040,M05,2026-08-03 04:14:00,100,1,0.01,CRACK
QE-00324,ORD-2036,M01,2026-08-24 01:02:00,100,1,0.01,CONTAM
QE-00325,ORD-2036,M01,2026-08-24 01:17:00,50,3,0.06,SCRATCH
QE-00326,ORD-1001,M07,2026-06-10 08:05:00,100,3,0.03,CRACK
QE-00327,ORD-1050,M10,2026-06-30 05:08:00,100,1,0.01,CONTAM
QE-00328,ORD-1050,M10,2026-06-30 05:23:00,50,0,0.0,
QE-00329,ORD-2009,M10,2026-07-20 02:11:00,100,1,0.01,CONTAM
QE-00330,ORD-1107,M07,2026-08-06 04:09:00,50,0,0.0,
QE-00331,ORD-1107,M07,2026-08-06 04:24:00,50,0,0.0,
QE-00332,ORD-1136,M06,2026-07-29 02:10:00,100,0,0.0,
QE-00333,ORD-1136,M06,2026-07-29 02:25:00,50,0,0.0,
QE-00334,ORD-1136,M06,2026-07-29 02:40:00,50,1,0.02,SCRATCH
QE-00335,ORD-2046,M03,2026-08-04 05:01:00,100,0,0.0,
QE-00336,ORD-2007,M01,2026-07-31 05:10:00,50,0,0.0,
QE-00337,ORD-2007,M01,2026-07-31 05:25:00,100,0,0.0,
QE-00338,ORD-1092,M09,2026-08-22 07:09:00,50,0,0.0,
QE-00339,ORD-1092,M09,2026-08-22 07:24:00,50,0,0.0,
QE-00340,ORD-1092,M09,2026-08-22 07:39:00,100,0,0.0,
QE-00341,ORD-1059,M02,2026-06-11 01:10:00,100,0,0.0,
QE-00342,ORD-1059,M02,2026-06-11 01:25:00,100,1,0.01,CONTAM
QE-00343,ORD-1110,M06,2026-08-25 10:14:00,100,0,0.0,
QE-00344,ORD-1029,M10,2026-08-02 08:07:00,50,2,0.04,SCRATCH
QE-00345,ORD-1139,M03,2026-08-01 02:06:00,50,0,0.0,
QE-00346,ORD-1080,M06,2026-08-13 10:14:00,100,0,0.0,
QE-00347,ORD-1080,M06,2026-08-13 10:29:00,50,0,0.0,
QE-00348,ORD-1030,M02,2026-06-12 06:01:00,50,0,0.0,
QE-00349,ORD-1045,M07,2026-07-01 08:04:00,50,0,0.0,
QE-00350,ORD-1141,M09,2026-06-18 08:10:00,100,0,0.0,
QE-00351,ORD-1141,M09,2026-06-18 08:25:00,100,2,0.02,CRACK
